code,name,market,industry,close_price,change_rate,market_cap
357250,미래에셋맵스리츠,KOSPI,부동산 임대 및 공급업,1895,-0.26,47365723975
053980,오상자이엘,KOSDAQ,소프트웨어 개발 및 공급업,2495,-5.13,47362043585
004910,조광페인트,KOSPI,기타 화학제품 제조업,3690,0.14,47232000000
050120,ES큐브,KOSDAQ,생활용품 도매업,3480,0.87,47203019280
099410,동방선기,KOSDAQ,선박 및 보트 건조업,3370,-2.6,47180000000
041650,상신브레이크,KOSPI,자동차 신품 부품 제조업,2195,-2.44,47129832750
023440,제이스코홀딩스,KOSDAQ,1차 철강 제조업,521,0.0,46964378481
094970,제이엠티,KOSDAQ,전자부품 제조업,2800,-3.45,46895072000
051390,YW,KOSDAQ,상품 종합 도매업,4120,-1.08,46784116160
424980,마이크로투나노,KOSDAQ,반도체 제조업,7900,3.95,46759231000
355690,에이텀,KOSDAQ,전자부품 제조업,4880,-4.31,46703498320
114450,그린생명과학,KOSDAQ,기초 의약물질 제조업,2335,3.32,46700000000
479960,위너스일렉,KOSDAQ,기타 전기장비 제조업,6550,-0.3,46675300000
009835,한화솔루션우,KOSPI,기타,18240,-1.67,46413795840
007680,대원,KOSDAQ,건물 건설업,3510,1.01,46411810380
180060,탑선,KONEX,기타 전기장비 제조업,4965,-0.5,46411161690
069460,대호에이엘,KOSPI,1차 비철금속 제조업,2660,0.0,46322277400
189980,흥국에프엔비,KOSDAQ,비알코올음료 및 얼음 제조업,1154,-1.2,46319052358
136410,아셈스,KOSDAQ,플라스틱제품 제조업,4200,-13.31,46280245200
224110,에이텍모빌리티,KOSDAQ,통신 및 방송 장비 제조업,9100,3.76,46231512600
002920,유성기업,KOSPI,자동차 신품 부품 제조업,1781,-4.25,46212497500
004410,서울식품,KOSPI,기타 식품 제조업,1169,1.56,46122910197
471820,셀로맥스사이언스,KOSDAQ,기타 식품 제조업,4080,-0.97,46115746320
089790,제이티,KOSDAQ,특수 목적용 기계 제조업,4470,1.59,46110343110
072990,에이치시티,KOSDAQ,기타 과학기술 서비스업,3160,-4.39,45814330960
127710,아시아경제,KOSDAQ,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1039,1.17,45767129190
0010V0,제이피아이헬스케어,KOSDAQ,의료용 기기 제조업,8950,0.79,45693330000
162120,루켄테크놀러지스,KONEX,기타 전기장비 제조업,4095,1.11,45686285190
286750,나노실리칸첨단소재,KOSDAQ,기초 화학물질 제조업,1425,0.0,45641121225
008420,문배철강,KOSPI,1차 철강 제조업,2225,-0.67,45620298625
066130,하츠,KOSDAQ,가정용 기기 제조업,3560,-5.94,45568000000
461030,아이엠비디엑스,KOSDAQ,자연과학 및 공학 연구개발업,3165,-6.77,45368746305
000910,유니온,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",2900,-1.36,45273695100
004540,깨끗한나라,KOSPI,"펄프, 종이 및 판지 제조업",1211,-1.46,45098479223
005030,부산주공,KOSPI,자동차 신품 부품 제조업,486,0.0,45092532168
088280,쏘닉스,KOSDAQ,반도체 제조업,2600,0.0,44996874000
159580,제로투세븐,KOSDAQ,생활용품 도매업,2245,-0.66,44973267820
163280,에어레인,KOSDAQ,일반 목적용 기계 제조업,3300,-2.8,44890157400
074610,이엔플러스,KOSPI,일반 목적용 기계 제조업,5110,0.0,44815400070
382150,온코크로스,KOSDAQ,자연과학 및 공학 연구개발업,3435,-7.16,44814225990
084870,TBH글로벌,KOSPI,봉제의복 제조업,2180,0.23,44598998080
129890,앱코,KOSDAQ,컴퓨터 및 주변장치 제조업,976,0.62,44452507552
222420,쎄노텍,KOSDAQ,기타 비금속 광물제품 제조업,918,-1.08,44448204114
003080,SB성보,KOSPI,"비료, 농약 및 살균, 살충제 제조업",2220,-4.93,44444400000
196300,HLB펩,KOSDAQ,기초 의약물질 제조업,4740,0.11,44444320860
263020,디케이앤디,KOSDAQ,플라스틱제품 제조업,3200,-1.39,44275667200
460470,아이빔테크놀로지,KOSDAQ,사진장비 및 광학기기 제조업,2920,-4.26,44148560400
288330,파라택시스코리아,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업",416,0.0,44129674368
059100,아이컴포넌트,KOSDAQ,전자부품 제조업,6220,2.81,43980749200
190650,코리아에셋투자증권,KOSDAQ,금융 지원 서비스업,6880,0.29,43949440000
014190,원익큐브,KOSDAQ,기타 전문 도매업,1241,3.42,43925283111
466410,사이냅소프트,KOSDAQ,소프트웨어 개발 및 공급업,8720,-2.79,43922840560
481850,신한글로벌액티브리츠,KOSPI,신탁업 및 집합투자업,1009,0.0,43868962976
373200,엑스플러스,KOSDAQ,그외 기타 제품 제조업,1747,-8.68,43750535039
014910,성문전자,KOSPI,전자부품 제조업,1997,-1.38,43648942229
068330,일신바이오,KOSDAQ,일반 목적용 기계 제조업,987,-0.3,43641330180
307280,원바이오젠,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,6150,-3.61,43631956050
278650,HLB바이오스텝,KOSDAQ,자연과학 및 공학 연구개발업,2500,-1.57,43580990000
082850,우리바이오,KOSDAQ,기타 식품 제조업,897,0.0,43465550466
